,carid,Month,day
0,513,Apr,TUE
2,513,Dec,WED
4,1308,Feb,THU
6,1308,May,FRI
8,1360,Dec,MON
10,1365,Feb,WED
12,1365,Mar,WED
14,1365,May,THU
16,1366,Jun,WED
18,1366,Jun,SUN
20,1366,Aug,TUE
22,1366,Aug,TUE
24,1366,Aug,WED
26,1366,Aug,FRI
28,1366,Sep,MON
30,1366,Sep,MON
32,1366,Sep,TUE
34,1367,Feb,WED
36,1368,Mar,SAT
38,1368,May,WED
40,1368,May,MON
42,1368,May,TUE
44,1368,Dec,THU
46,1384,Jan,THU
48,1384,Mar,THU
50,1384,Mar,THU
52,1384,Mar,THU
54,1384,May,TUE
56,1384,May,SAT
58,1384,May,SUN
60,1384,May,FRI
62,1384,May,FRI
64,1384,May,FRI
66,1384,May,FRI
68,1384,May,FRI
70,1384,May,TUE
72,1384,May,WED
74,1384,May,THU
76,1384,Jun,FRI
78,1384,Jun,FRI
80,1384,Jun,TUE
82,1384,Jun,TUE
84,1384,Jul,FRI
86,1384,Jul,FRI
88,1384,Jul,WED
90,1384,Aug,TUE
92,1384,Aug,WED
94,1384,Aug,WED
96,1384,Aug,WED
98,1384,Aug,FRI
100,1384,Aug,SAT
102,1384,Sep,SAT
104,1384,Sep,SUN
106,1384,Sep,SUN
108,1384,Sep,SUN
110,1384,Sep,SAT
112,1384,Nov,THU
114,1384,Dec,TUE
116,1384,Dec,TUE
118,1384,Dec,TUE
120,1384,Dec,TUE
122,1384,Dec,TUE
124,1384,Dec,TUE
126,1384,Dec,MON
128,1384,Dec,THU
130,1384,Dec,SAT
132,1384,Dec,WED
134,1384,Dec,THU
136,1384,Dec,THU
138,8776,Dec,SUN
140,8791,Mar,MON
142,8791,Mar,TUE
144,8791,Aug,FRI
146,8792,Aug,THU
148,8792,Sep,SUN
150,8804,Jan,FRI
152,8804,May,FRI
154,8804,Jun,MON
156,8804,Aug,MON
158,8804,Sep,FRI
160,11005,Aug,MON
162,11005,Sep,FRI
164,11296,Apr,TUE
166,11296,Apr,SUN
168,11296,May,WED
170,11296,May,WED
172,11296,May,FRI
174,11296,May,TUE
176,11296,May,THU
178,11296,May,MON
180,11296,May,TUE
182,11296,May,TUE
184,11296,May,MON
186,11296,May,WED
188,11296,Jun,SAT
190,11296,Jun,SAT
192,11296,Jun,SAT
194,11296,Jun,MON
196,11296,Jun,MON
198,11296,Jun,FRI
200,11296,Jun,SAT
202,11296,Jul,TUE
204,11296,Jul,FRI
206,11296,Aug,THU
208,11296,Aug,FRI
210,11296,Aug,FRI
212,11296,Sep,TUE
214,11296,Sep,TUE
216,11296,Sep,FRI
218,11296,Sep,MON
220,11296,Oct,WED
222,11296,Nov,FRI
224,11296,Dec,FRI
226,11296,Dec,THU
228,11296,Dec,THU
230,11296,Dec,WED
232,11325,Jan,SUN
234,11325,Jan,FRI
236,11325,Jan,FRI
238,11325,Jan,FRI
240,11325,Jan,SUN
242,11325,Feb,MON
244,11325,Feb,THU
246,11325,Mar,SAT
248,11325,Apr,MON
250,11325,Apr,FRI
252,11325,Apr,MON
254,11325,Apr,SAT
256,11325,May,THU
258,11325,May,SUN
260,11325,May,SAT
262,11325,May,TUE
264,11325,Jun,SAT
266,11325,Jun,FRI
268,11325,Jun,THU
270,11325,Jun,THU
272,11325,Jul,WED
274,11325,Jul,MON
276,11325,Jul,TUE
278,11325,Jul,THU
280,11325,Aug,SAT
282,11325,Aug,WED
284,11325,Aug,THU
286,11325,Aug,FRI
288,11325,Sep,SUN
290,11325,Sep,MON
292,11325,Sep,THU
294,11325,Sep,SAT
296,11325,Oct,SUN
298,11325,Oct,SUN
300,11325,Oct,MON
302,11325,Nov,FRI
304,11325,Dec,SUN
306,11325,Dec,MON
308,11325,Dec,WED
310,11332,Apr,SAT
312,11332,May,THU
314,11332,May,FRI
316,11332,May,FRI
318,11332,May,FRI
320,11332,May,FRI
322,11332,May,TUE
324,11332,May,FRI
326,11332,May,FRI
328,11332,Jun,MON
330,11332,Jun,MON
332,11332,Jun,MON
334,11332,Jun,MON
336,11332,Jun,MON
338,11332,Jun,MON
340,11332,Jun,MON
342,11332,Jun,WED
344,11332,Jul,THU
346,11332,Jul,THU
348,11332,Jul,THU
350,11332,Jul,THU
352,11332,Jul,SAT
354,11332,Aug,WED
356,11332,Aug,WED
358,11332,Aug,WED
360,11332,Aug,THU
362,11332,Aug,SUN
364,11332,Sep,MON
366,11332,Sep,MON
368,11332,Sep,FRI
370,11332,Oct,THU
372,11332,Oct,WED
374,11333,Apr,SUN
376,11333,May,WED
378,11333,May,SAT
380,11333,May,SAT
382,11333,May,SAT
384,11333,May,THU
386,11333,May,THU
388,11333,May,THU
390,11333,May,THU
392,11333,Jun,MON
394,11333,Jun,FRI
396,11333,Jul,TUE
398,11333,Jul,TUE
400,11333,Jul,TUE
402,11333,Jul,TUE
404,11333,Jul,WED
406,11333,Jul,WED
408,11333,Jul,WED
410,11333,Jul,WED
412,11333,Jul,WED
414,11333,Aug,THU
416,11333,Aug,FRI
418,11359,Apr,SAT
420,11359,Apr,SUN
422,11359,May,SAT
424,11359,May,SAT
426,11359,May,SUN
428,11359,May,TUE
430,11359,May,WED
432,11359,Jun,MON
434,11359,Jun,FRI
436,11359,Jun,FRI
438,11359,Jun,FRI
440,11359,Jul,MON
442,11359,Jul,THU
444,11359,Jul,THU
446,11359,Jul,THU
448,11359,Jul,SAT
450,11359,Jul,SAT
452,11359,Jul,SAT
454,11359,Jul,SAT
456,11359,Aug,FRI
458,11359,Aug,SAT
460,11359,Aug,SAT
462,11359,Aug,SAT
464,11359,Aug,SAT
466,11359,Aug,THU
468,11359,Aug,THU
470,11359,Aug,THU
472,11359,Aug,THU
474,11359,Aug,FRI
476,11359,Aug,WED
478,11359,Nov,WED
480,11359,Nov,WED
482,11359,Nov,WED
484,11359,Nov,WED
486,11359,Nov,WED
488,11359,Dec,FRI
490,11359,Dec,FRI
492,11359,Dec,FRI
494,11359,Dec,FRI
496,11359,Dec,FRI
498,11359,Dec,FRI
500,11359,Dec,SUN
502,11359,Dec,TUE
504,21356,Jan,THU
506,21356,Jan,THU
508,21356,Jan,TUE
510,21356,Jan,TUE
512,21356,Jan,TUE
514,21356,Jan,TUE
516,21356,Jan,WED
518,21356,Jan,WED
520,21356,Jan,WED
522,21356,Jan,THU
524,21356,Jan,SUN
526,21356,Jan,SUN
528,21356,Jan,SUN
530,21356,Feb,SAT
532,21356,Feb,FRI
534,21356,Feb,SAT
536,21356,Feb,MON
538,21356,Mar,WED
540,21356,Mar,WED
542,21356,Mar,SUN
544,21356,Apr,FRI
546,21356,Apr,MON
548,21356,Apr,MON
550,21356,May,MON
552,21356,May,MON
554,21356,May,MON
556,21356,May,MON
558,21356,May,FRI
560,21356,May,FRI
562,21356,May,FRI
564,21356,May,FRI
566,21356,Jun,FRI
568,21356,Jun,FRI
